mu,Power.Tn (r = 2),Power.Tn (r = 3),Power.Tn (r = 4),Power.Tn (r = 5),Power.Tn (r = 10),," C1, c2, c3, c4,c5"
0,0.05,0.05,0.05,0.05,0.05,,5
1,0.0659,0.0667,0.0694,0.0697,0.0781,,-9
2,0.0856,0.0874,0.0941,0.095,0.1168,,4
3,0.1093,0.1125,0.1247,0.1264,0.1675,,11
4,0.1374,0.1425,0.1617,0.1644,0.2304,,-8
5,0.17,0.1774,0.2052,0.2091,0.3049,,
6,0.2073,0.2173,0.2551,0.2603,0.3883,,
7,0.2489,0.2619,0.3105,0.3173,0.4774,,
8,0.2947,0.3108,0.3707,0.379,0.5675,,
9,0.344,0.3633,0.4342,0.4439,0.6543,,
10,0.3961,0.4185,0.4995,0.5104,0.7336,,
11,0.4502,0.4753,0.5648,0.5766,0.8025,,
12,0.5052,0.5327,0.6284,0.6407,0.8594,,
13,0.5601,0.5893,0.6886,0.701,0.904,,
14,0.6138,0.6442,0.7442,0.7563,0.9372,,
15,0.6655,0.6963,0.7941,0.8055,0.9606,,
16,0.7142,0.7446,0.8377,0.8482,0.9764,,
17,0.7592,0.7886,0.8748,0.8841,0.9865,,
18,0.8001,0.8278,0.9055,0.9135,0.9926,,
19,0.8365,0.862,0.9303,0.937,0.9962,,
20,0.8683,0.8912,0.9497,0.9552,0.9981,,
21,0.8955,0.9158,0.9646,0.9688,0.9991,,
22,0.9184,0.9359,0.9756,0.9789,0.9996,,
23,0.9373,0.952,0.9836,0.986,0.9998,,
24,0.9526,0.9648,0.9893,0.991,0.9999,,
25,0.9648,0.9746,0.9931,0.9943,1,,
26,0.9742,0.982,0.9957,0.9965,1,,
27,0.9815,0.9875,0.9974,0.9979,1,,
28,0.9869,0.9914,0.9984,0.9988,1,,
29,0.9909,0.9943,0.9991,0.9993,1,,
30,0.9938,0.9962,0.9995,0.9996,1,,
31,0.9958,0.9976,0.9997,0.9998,1,,
32,0.9972,0.9985,0.9998,0.9999,1,,
