mu,Power.Tn (r = 2),Power.Tn (r = 3),Power.Tn (r = 4),Power.Tn (r = 5),Power.Tn (r = 10)
0,0.05,0.05,0.05,0.05,0.05
1,0.0626,0.0644,0.0698,0.0708,0.071
2,0.0776,0.0818,0.095,0.0977,0.0981
3,0.0952,0.1025,0.1265,0.1314,0.1322
4,0.1155,0.1269,0.1646,0.1723,0.1737
5,0.1388,0.155,0.2094,0.2206,0.2226
6,0.165,0.1869,0.2607,0.2759,0.2786
7,0.1943,0.2225,0.3178,0.3372,0.3406
8,0.2265,0.2618,0.3795,0.4032,0.4073
9,0.2615,0.3044,0.4445,0.472,0.4768
10,0.2992,0.3498,0.5111,0.5417,0.547
11,0.3391,0.3974,0.5773,0.6102,0.6157
12,0.3809,0.4466,0.6414,0.6753,0.681
13,0.4241,0.4967,0.7018,0.7356,0.7411
14,0.4683,0.5468,0.7571,0.7895,0.7948
15,0.5128,0.5962,0.8062,0.8364,0.8412
16,0.5573,0.6441,0.8488,0.8759,0.8801
17,0.6009,0.6898,0.8847,0.9082,0.9118
18,0.6434,0.7328,0.914,0.9338,0.9368
19,0.6842,0.7725,0.9374,0.9535,0.9559
20,0.7228,0.8087,0.9555,0.9682,0.97
21,0.759,0.8411,0.9691,0.9788,0.9802
22,0.7924,0.8697,0.9791,0.9863,0.9872
23,0.8229,0.8945,0.9862,0.9913,0.992
24,0.8505,0.9157,0.9911,0.9947,0.9951
25,0.875,0.9335,0.9944,0.9968,0.9971
26,0.8965,0.9483,0.9966,0.9982,0.9984
27,0.9153,0.9603,0.998,0.999,0.9991
28,0.9313,0.97,0.9988,0.9994,0.9995
29,0.9449,0.9776,0.9993,0.9997,0.9997
30,0.9563,0.9835,0.9996,0.9998,0.9999
31,0.9657,0.988,0.9998,0.9999,0.9999
32,0.9734,0.9914,0.9999,1,1
