mu,Power.Tn (r = 2),Power.Tn (r = 3),Power.Tn (r = 4),Power.Tn (r = 5),Power.Tn (r = 10)
0,0.05,0.05,0.05,0.05,0.05
1,0.0602,0.0634,0.0626,0.0724,0.0724
2,0.072,0.0795,0.0776,0.1018,0.1019
3,0.0854,0.0985,0.0951,0.139,0.1392
4,0.1007,0.1206,0.1153,0.1846,0.1849
5,0.1178,0.1459,0.1385,0.2384,0.2389
6,0.1369,0.1747,0.1647,0.2999,0.3006
7,0.158,0.2068,0.1938,0.3676,0.3685
8,0.1812,0.2421,0.2259,0.4398,0.4409
9,0.2064,0.2805,0.2608,0.5141,0.5153
10,0.2335,0.3216,0.2983,0.5878,0.5892
11,0.2626,0.365,0.3381,0.6586,0.66
12,0.2933,0.4103,0.3798,0.7242,0.7255
13,0.3257,0.4567,0.4229,0.7829,0.7842
14,0.3594,0.5038,0.4669,0.8336,0.8348
15,0.3942,0.5508,0.5114,0.876,0.8771
16,0.4299,0.5971,0.5557,0.9102,0.9111
17,0.4662,0.6421,0.5994,0.9368,0.9375
18,0.5027,0.6852,0.6418,0.9569,0.9574
19,0.5393,0.7259,0.6826,0.9714,0.9718
20,0.5755,0.7638,0.7212,0.9816,0.9819
21,0.6111,0.7986,0.7574,0.9886,0.9888
22,0.6458,0.8302,0.7909,0.9931,0.9932
23,0.6793,0.8584,0.8215,0.996,0.9961
24,0.7114,0.8832,0.8491,0.9977,0.9978
25,0.7419,0.9048,0.8737,0.9987,0.9988
26,0.7706,0.9233,0.8954,0.9993,0.9994
27,0.7975,0.9389,0.9143,0.9997,0.9997
28,0.8224,0.9519,0.9304,0.9998,0.9998
29,0.8452,0.9626,0.9441,0.9999,0.9999
30,0.8661,0.9713,0.9556,1,1
31,0.8849,0.9782,0.9651,1,1
32,0.9017,0.9837,0.9729,1,1
