mu,Power.Tn (r = 2),Power.Tn (r = 3),Power.Tn (r = 4),Power.Tn (r = 5),Power.Tn (r = 10)
0,0.05,0.05,0.05,0.05,0.05
1,0.0591,0.064,0.0663,0.077,0.0798
2,0.0695,0.081,0.0865,0.1138,0.1215
3,0.0812,0.1011,0.111,0.1618,0.1765
4,0.0943,0.1246,0.14,0.2213,0.245
5,0.109,0.1517,0.1739,0.2916,0.3258
6,0.1252,0.1824,0.2125,0.3709,0.4157
7,0.143,0.2168,0.2557,0.4561,0.5102
8,0.1625,0.2547,0.3031,0.5434,0.6042
9,0.1836,0.2957,0.3541,0.6287,0.6925
10,0.2064,0.3396,0.4078,0.708,0.7708
11,0.2307,0.3857,0.4634,0.7784,0.8365
12,0.2566,0.4335,0.5196,0.8379,0.8886
13,0.2839,0.4823,0.5755,0.8859,0.9275
14,0.3125,0.5314,0.6299,0.9228,0.9551
15,0.3423,0.58,0.6818,0.9499,0.9735
16,0.3731,0.6274,0.7304,0.9688,0.9851
17,0.4047,0.673,0.7749,0.9813,0.9921
18,0.437,0.7161,0.8149,0.9893,0.996
19,0.4697,0.7563,0.8502,0.9941,0.9981
20,0.5026,0.7932,0.8807,0.9969,0.9991
21,0.5355,0.8265,0.9065,0.9985,0.9996
22,0.5682,0.8563,0.928,0.9993,0.9998
23,0.6004,0.8824,0.9454,0.9997,0.9999
24,0.6319,0.9049,0.9594,0.9999,1
25,0.6625,0.9241,0.9702,0.9999,1
26,0.6922,0.9402,0.9786,1,1
27,0.7206,0.9535,0.9849,1,1
28,0.7477,0.9643,0.9895,1,1
29,0.7733,0.9729,0.9928,1,1
30,0.7974,0.9798,0.9952,1,1
31,0.8199,0.9851,0.9968,1,1
32,0.8407,0.9891,0.998,1,1
