mu,Power.Vn (r = 2),Power.Vn (r = 3),Power.Vn (r = 4),Power.Vn (r = 5),Power.Vn (r = 10)," C1, c2, c3, c4"
0,0.05,0.05,0.05,0.05,0.05,-0.13
1,0.0617,0.0645,0.0697,0.081,0.0832,-2.1
2,0.0755,0.0821,0.0949,0.1248,0.1307,5.6
3,0.0915,0.1031,0.1262,0.1829,0.1943,-0.95
4,0.11,0.1277,0.1641,0.2554,0.2739,
5,0.1309,0.1561,0.2086,0.3406,0.3669,
6,0.1544,0.1884,0.2597,0.4348,0.4684,
7,0.1806,0.2246,0.3165,0.5329,0.5721,
8,0.2093,0.2644,0.3779,0.6291,0.671,
9,0.2407,0.3075,0.4427,0.7178,0.7592,
10,0.2744,0.3534,0.509,0.7947,0.8326,
11,0.3102,0.4016,0.5751,0.8576,0.8898,
12,0.348,0.4513,0.6391,0.906,0.9314,
13,0.3874,0.5018,0.6994,0.941,0.9597,
14,0.4279,0.5522,0.7548,0.9649,0.9777,
15,0.4693,0.6019,0.8041,0.9802,0.9884,
16,0.5109,0.6499,0.8469,0.9894,0.9943,
17,0.5525,0.6956,0.8829,0.9946,0.9974,
18,0.5935,0.7385,0.9125,0.9974,0.9989,
19,0.6334,0.7781,0.9362,0.9988,0.9995,
20,0.672,0.8139,0.9545,0.9995,0.9998,
21,0.7088,0.846,0.9683,0.9998,0.9999,
22,0.7436,0.8742,0.9785,0.9999,1,
23,0.7761,0.8985,0.9857,1,1,
24,0.8061,0.9192,0.9908,1,1,
25,0.8335,0.9366,0.9942,1,1,
26,0.8583,0.9509,0.9964,1,1,
27,0.8804,0.9625,0.9979,1,1,
28,0.9,0.9718,0.9988,1,1,
29,0.9171,0.979,0.9993,1,1,
30,0.932,0.9847,0.9996,1,1,
31,0.9447,0.9889,0.9998,1,1,
32,0.9554,0.9921,0.9999,1,1,
